id,nombre,album,creador,opennotes,letras,guitarra,bajo,segundag.,drum,key,imagen,video,link,link_mf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,El santo grial,La Leyenda de la Mancha,aeromark,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/leyenda.jpg,https://www.youtube.com/embed/09K1JOonFhY,https://drive.google.com/file/d/1JWOT7U-rrn0tFK9fqxtcf3TMMjoBTOTL,https://www.mediafire.com/file/28zamg10qsxk7x9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,El santo grial,La Leyenda de la Mancha,hereje888,no,no,★★★★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/leyenda.jpg,https://www.youtube.com/embed/guPDzW-gN_M,https://drive.google.com/file/d/1KdnA7rz3EOeFKDF7j20icKYek9E4Fh_6,https://www.mediafire.com/file/ejvrvd81t1nxdgm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,El santo grial,La Leyenda de la Mancha,LMBECIL1832,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰★,✰✰✰✰,datasong/album/leyenda.jpg,https://www.youtube.com/embed/9nXWnawligk,https://drive.google.com/file/d/1KknijTg02ILQ_QV3D4L7rfMFX27wfSUs,https://www.mediafire.com/file/9zhex9d98psw58b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,El señor de los gramillos,Finisterra,Danon94,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/r3J6Q2baaPs,https://drive.google.com/file/d/1KpxN0Auipsuz7dcdmZi4lvOwNoeBU_bp,https://www.mediafire.com/file/j4098vd8bf6drsj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,El señor de los gramillos,Finisterra,LMBECIL1832,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/xMUpCGrajSI,https://drive.google.com/file/d/1Kz6ZaSnqK8NHdbjoOS7a_deFx_O7-BNB,https://www.mediafire.com/file/2x1tkvvca806rys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,El septimo sello,Ira Dei,Zbagint,si,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/iradei.jpg,sinvideo,https://drive.google.com/file/d/1LI_jVTSNP9GmE9khSJ0uzlSW2AzoCbrQ,https://www.mediafire.com/file/i8x92mlsk4vw4wz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Fiesta pagana,Finistera,AleM,no,no,✰✰★★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/4njxo9tjpU4,https://drive.google.com/file/d/1MQuiRe6GwirZ_Aj66rXuDTJEIPuCeQas,https://www.mediafire.com/file/v24hf3lvpds4wzd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Fiesta pagana,Finisterra,bernie,no,si,★★★★,★★★★,★★★★,★★★★,★★★★,datasong/album/finisterra.jpg,https://www.youtube.com/embed/za1yz7L6jUs,https://drive.google.com/file/d/1Mn20OlH8E1w4koe7ZFtcU5CIumujlUPf,https://www.mediafire.com/file/26adb3fnfpmmwy5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Fiesta pagana,Finisterra,Danon94,no,no,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/finisterra.jpg,https://www.youtube.com/embed/sFy48Ch2TK4,https://drive.google.com/file/d/1Mp4R1XRj3dw3ymGQ2-cq7lcPPZsSObyd,https://www.mediafire.com/file/a9brw9kzesh63p9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Fiesta pagana 2.0,CeltiLand,Sheishuu,no,si,✰✰✰★,✰✰✰✰,✰✰✰✰,✰✰✰✰,✰✰✰✰,datasong/album/celtiland.jpg,sinvideo,https://drive.google.com/file/d/1NSfQzG-mc3p4UNrOCOf7xXNjeR0B5MDb,https://www.mediafire.com/file/cgvktxfp7nuc7wd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
